artist_spotify,track_spotify,lastfm_url,listeners,playcount,tags
BTS,Friends,https://www.last.fm/music/BTS/_/Friends,379999,16549930,"bts, v, 2020, jimin, vmin <3"
Stray Kids,MIROH,https://www.last.fm/music/Stray+Kids/_/MIROH,323777,6839648,"Korean, k-pop, electro house, EDM, stray kids"
BTS,Moon,https://www.last.fm/music/BTS/_/Moon,384966,22731419,"jin, bts, pop rock, pop, <3"
Stray Kids,My Pace,https://www.last.fm/music/Stray+Kids/_/My+Pace,212747,3336049,
TWICE,CRY FOR ME,https://www.last.fm/music/TWICE/_/CRY+FOR+ME,479325,7701917,"dance-pop, k-pop, breakbeat, breaks, 2-step garage"
Robin Schulz,In Your Eyes (feat. Alida),https://www.last.fm/music/Robin+Schulz/_/In+Your+Eyes+(feat.+Alida),126056,909486,
Ava Max,Who's Laughing Now,https://www.last.fm/music/Ava+Max/_/Who%27s+Laughing+Now,171463,1894439,
K/DA,THE BADDEST,https://www.last.fm/music/K%2FDA/_/THE+BADDEST,302604,4361140,"vocal, pop, pop rap, trap, Brostep"
BTS,Black Swan,https://www.last.fm/music/BTS/_/Black+Swan,622151,33210111,"bts, Kpop, emo hip hop, k-pop, twice"
Olivia Dean,Baby Come Home,https://www.last.fm/music/Olivia+Dean/_/Baby+Come+Home,43233,158715,
Beach Bunny,Cloud 9,https://www.last.fm/music/Beach+Bunny/_/Cloud+9,887263,9012011,"indie pop, power pop, pick n mix, indie rock, WSUM 91.7 FM Madison"
Lasso,Odio Que No Te Odio,https://www.last.fm/music/Lasso/_/Odio+Que+No+Te+Odio,24344,185511,
Alexander 23,IDK You Yet,https://www.last.fm/music/Alexander+23/_/IDK+You+Yet,396296,3801512,
Olivia Dean,Crosswords,https://www.last.fm/music/Olivia+Dean/_/Crosswords,57873,254974,
TINI,Suéltate el Pelo,https://www.last.fm/music/Tini/_/Su%C3%A9ltate+El+Pelo,19138,219393,
Clean Bandit,Tick Tock (feat. 24kGoldn),https://www.last.fm/music/Clean+Bandit/_/Tick+Tock+(feat.+24kGoldn),176450,1297233,
Lady Gaga,911,https://www.last.fm/music/Lady+Gaga/_/911,458534,9826497,"pop, electropop, Lady Gaga, 2020, dance-pop"
Stormy,Africain,https://www.last.fm/music/Stormy/_/AFRICAIN,3459,28636,
Reik,Pero Te Conocí,https://www.last.fm/music/Reik/_/Pero+Te+Conoc%C3%AD,14238,92520,
BTS,My Time,https://www.last.fm/music/BTS/_/My+Time,425854,29930794,"jungkook, bts, BTS - My Time, my time, k-pop"
Lauv,Who,https://www.last.fm/music/Lauv/_/Who,290246,3564273,"scat, bts, jimin, jungkook, lauv"
BTS,Boy With Luv (Feat. Halsey),https://www.last.fm/music/BTS/_/Boy+With+Luv+(feat.+Halsey),871721,75223354,"pop, k-pop, bots, bts, Kpop"
Banda Do Sul,Watermelon Sugar,https://www.last.fm/music/Banda+Do+Sul/_/Watermelon+Sugar,2688,7208,
Sarah Menescal,Love Hurts,https://www.last.fm/music/Sarah+Menescal/_/Love+Hurts,4312,15465,
Beluga's Trio,Love You Inside Out,https://www.last.fm/music/Beluga%27s+Trio/_/Love+You+Inside+Out,2959,9291,
Los Dos Carnales,El Envidioso,https://www.last.fm/music/Los+Dos+Carnales/_/El+Envidioso,27109,153012,
Bossa Nova Covers,All About the Money,https://www.last.fm/music/Bossa+Nova+Covers/_/All+About+the+Money,3374,11301,
RESISTIRÉ MÉXICO,Resistiré,https://www.last.fm/music/RESISTIR%C3%89+M%C3%89XICO/_/Resistir%C3%A9,25882,91485,
Bossa Nova Covers,Hooked On a Feeling,https://www.last.fm/music/Bossa+Nova+Covers/_/Hooked+On+a+Feeling,3795,13239,
Mari Froes,Espelho,https://www.last.fm/music/Mari+Froes/_/espelho,10615,23568,
BLACKPINK,Crazy Over You,https://www.last.fm/music/BLACKPINK/_/Crazy+Over+You,321827,4813071,
Bossa Nova Covers,The Riddle,https://www.last.fm/music/Bossa+Nova+Covers/_/The+Riddle,4387,15627,
Luis Gabriel,Toate Diamantele,https://www.last.fm/music/LUIS+GABRIEL/_/Toate+Diamantele,10396,78406,
Sigala,Lasting Lover,https://www.last.fm/music/Sigala/_/Lasting+Lover,89126,487102,
Amazonics,Only Happy When It Rains,https://www.last.fm/music/Amazonics/_/Only+Happy+When+It+Rains,4794,16123,
TINI,Acércate,https://www.last.fm/music/Tini/_/Ac%C3%A9rcate,12983,183589,
Rio Branco,After the Love Has Gone,https://www.last.fm/music/Rio+Branco/_/After+the+Love+Has+Gone,2976,10956,
Anakelly,Last Friday Night (T.G.I.F.),https://www.last.fm/music/Anakelly/_/Last+Friday+Night+(T.G.I.F.),4721,17395,
Sebastian Yatra,Falta Amor,https://www.last.fm/music/Sebastian+Yatra/_/Falta+Amor,20131,142998,
Andrés Cepeda,Magia (feat. Sebastián Yatra),https://www.last.fm/music/Andr%C3%A9s+Cepeda/_/Magia+(feat.+Sebasti%C3%A1n+Yatra),11215,68805,
Catching Flies,Satisfied (Ambient Reprise),https://www.last.fm/music/Catching+Flies/_/Satisfied+(Ambient+Reprise),97830,459586,
BLACKPINK,Ice Cream (with Selena Gomez),https://www.last.fm/music/BLACKPINK/_/Ice+Cream+(with+Selena+Gomez),552846,10541417,
HWASA,Maria,https://www.last.fm/music/HWASA/_/Maria,233434,1336017,k-pop
Stray Kids,Side Effects,https://www.last.fm/music/Stray+Kids/_/Side+Effects,189244,3298977,
Djo,Keep Your Head Up,https://www.last.fm/music/Djo/_/Keep+Your+Head+Up,94834,620437,
BTS,Outro : Ego,https://www.last.fm/music/BTS/_/Outro+:+Ego,358107,15103985,"j-hope, k-pop, temazo, bts"
Natanael Cano,Pacas Verdes,https://www.last.fm/music/Natanael+Cano/_/Pacas+Verdes,63259,663615,
Zara Larsson,WOW (feat. Sabrina Carpenter) - Remix,https://www.last.fm/music/Zara+Larsson/_/WOW+(feat.+Sabrina+Carpenter)+-+Remix,156381,936838,
Jesse & Joy,Mañana Es Too Late,https://www.last.fm/music/Jesse+&+Joy/_/Ma%C3%B1ana+Es+Too+Late,26951,144768,
Ariana Grande,nasty,https://www.last.fm/music/Ariana+Grande/_/nasty,578986,8849994,"rnb, sexy, pop, sex, female vocalists"
BTS,Interlude : Shadow,https://www.last.fm/music/BTS/_/Interlude+:+Shadow,329754,12523081,"rap, k-pop, Korean, suga, wb yoongi el capitxn pdogg and rm"
Ariana Grande,west side,https://www.last.fm/music/Ariana+Grande/_/west+side,356154,4625011,"rnb, pop, 2020s, 2020, Hip-Hop"
i-dle,Oh my god,https://www.last.fm/music/i-dle/_/Oh+my+god,119058,506504,"k-pop, Korean, Kpop"
El Fantasma,Cabrón y Vago - En Vivo,https://www.last.fm/music/El+Fantasma/_/Cabr%C3%B3n+y+Vago+-+En+Vivo,37896,232021,
Jawsh 685,Savage Love (Laxed – Siren Beat) [BTS Remix],https://www.last.fm/music/Jawsh+685/_/Savage+Love+(Laxed+%E2%80%93+Siren+Beat)+%5BBTS+Remix%5D,220901,3963075,
BTS,Make It Right,https://www.last.fm/music/BTS/_/Make+It+Right,446461,16008900,"k-pop, Korean, Kpop, bts, 2019"
BLACKPINK,Bet You Wanna (feat. Cardi B),https://www.last.fm/music/BLACKPINK/_/Bet+You+Wanna+(feat.+Cardi+B),218721,2355788,
Stray Kids,Easy,https://www.last.fm/music/Stray+Kids/_/Easy,190311,4198411,
Miley Cyrus,Edge of Midnight (Midnight Sky Remix) (feat. Stevie Nicks),https://www.last.fm/music/Miley+Cyrus/_/Edge+of+Midnight+(Midnight+Sky+Remix)+(feat.+Stevie+Nicks),207235,1268074,
